,ID,Ass1,Ass2,Ass3,Ass4,Exam,Total,Final,Grade
2,3,74.3,54.4,63.0,63.9,31,43.21,43.0,N
3,4,89.8,81.3,82.0,90.4,37,56.545,57.0,P
14,15,66.3,53.7,53.0,81.9,30,44.30500000000001,44.0,N
23,24,57.7,76.3,71.0,87.7,35,52.035,52.0,P
24,25,84.7,65.0,73.0,88.9,34,51.37,51.0,P
25,26,84.7,53.8,75.0,78.1,36,49.37,49.0,N
32,33,64.2,50.0,18.0,0.0,0,11.61,12.0,N
41,42,81.5,43.8,0.0,0.0,0,10.645,11.0,N
43,44,71.9,61.3,76.0,94.5,38,53.565,54.0,P
46,47,50.0,71.3,56.0,93.8,34,50.465,50.0,P
53,54,76.1,50.0,50.0,50.0,33,41.105000000000004,41.0,N
59,60,73.9,53.2,74.0,95.9,34,50.160000000000004,50.0,P
77,78,52.9,53.2,50.0,50.0,36,42.225,42.0,N
