"","V1","V2","V3"
"1",563.225,56.748,0
"2",564.887,58.119,0
"3",565.434,68.061,0
"4",565.926,79.953,0
"5",566.762,69.405,0
"6",567.99,81.669,0
"7",569.194,62.483,0
"8",569.791,55.458,0
"9",570.576,73.136,0
"10",572.167,73.306,0
"11",573.101,47.248,0
"12",573.649,88.769,0
"13",575.847,55.477,0
"14",576.019,55.179,0
"15",576.686,66.819,0
"16",577.379,44.799,0
"17",577.513,51.055,0
"18",578.727,80.574,0
"19",579.476,39.921,0
"20",580.633,44.737,0
"21",581.278,65.616,0
"22",582.023,54.002,0
"23",583.593,76.708,0
"24",583.796,79.86,0
"25",584.366,53.483,0
"26",586.459,59.779,0
"27",587.023,85.774,0
"28",587.679,71.899,0
"29",588.232,39.995,0
"30",588.672,51.99,0
"31",589.312,38.724,0
"32",591.027,44.019,0
"33",591.4,91.172,0
"34",592.217,89.381,0
"35",593.16,66.805,0
"36",594.063,66.893,0
"37",594.76,74.765,0
"38",595.356,80.827,0
"39",595.79,75.361,0
"40",596.355,83.586,0
"41",596.668,86.122,0
"42",598.529,58.733,0
"43",599.626,59.223,0
"44",600.848,85.828,0
"45",601.795,80.356,0
"46",602.177,43.649,0
"47",603.088,68.333,0
"48",604.009,86.323,0
"49",605.044,65.636,0
"50",605.162,87.564,0
"51",605.689,81.98,0
"52",606.666,65.305,0
"53",609.273,46.702,0
"54",609.805,79.983,0
"55",610.426,66.076,0
"56",611.214,67.693,0
"57",612.12,50.623,0
"58",612.611,80.34,0
"59",615.622,67.058,0
"60",616.511,69.774,0
"61",185.148,187.84,1
"62",186.379,210.891,1
"63",190.146,203.939,1
"64",192.725,200.574,1
"65",193.58,191.945,1
"66",196.524,209.577,1
"67",198.153,194.02,1
"68",199.639,189.935,1
"69",200.871,193.293,1
"70",202.992,198.882,1
"71",206.631,195.446,1
"72",208.041,192.715,1
"73",209.812,189.853,1
"74",211.981,200.95,1
"75",214.217,207.195,1
"76",216.775,196.353,1
"77",218.926,212.944,1
"78",220.754,190.068,1
"79",221.351,191.195,1
"80",222.246,185.421,1
"81",223.856,211.078,1
"82",224.959,201.679,1
"83",226.243,191.191,1
"84",227.497,199.323,1
"85",232.63,208.815,1
"86",233.817,198.346,1
"87",236.097,201.321,1
"88",241.224,206.679,1
"89",242.439,191.389,1
"90",244.763,189.957,1
"91",245.674,206.491,1
"92",247.434,208.13,1
"93",249.004,200.664,1
"94",249.977,198.39,1
"95",250.814,208.034,1
"96",253.545,215.389,1
"97",256.788,192.156,1
